name,price
Low Calorie Meal Ready to Drink," 12,90"
Low Calorie Meal," 6,90"
Low Calorie Bars," 12,50"
Smart Protein Drinks," 5,90"
High Protein Meal," 7,90"
Whey Breakfast," 6,90"
Low Calorie Pancake Mix," 7,90"
Protein Breakfast," 15,90"
